"Cos:う"	"Fcl_MTH_U_Group"
"Cos:え"	"Fcl_MTH_E_Group"
"Cos:お"	"Fcl_MTH_O_Group"
"Cos:ワ"	"Fcl_MTH_Joy_Group"
"Cos:▲"	"Fcl_MTH_Sorrow_Group"
"Cos:わー"	"Fcl_MTH_Surprised_Group"
"Cos:べー"	"Fcl_MTH_tongueOut_Group"
"Cos:ぺろり"	"Fcl_MTH_tongueUp_Group"
"にこり右"	"Fcl_BRW_Fun_R"
"にこり左"	"Fcl_BRW_Fun_L"
"にこり"	"Fcl_BRW_Fun"
"にこり2右"	"Fcl_BRW_Joy_R"
"にこり2左"	"Fcl_BRW_Joy_L"
"にこり2"	"Fcl_BRW_Joy"
"困る右"	"Fcl_BRW_Sorrow_R"
"困る左"	"Fcl_BRW_Sorrow_L"
"困る"	"Fcl_BRW_Sorrow"
"怒り右"	"Fcl_BRW_Angry_R"
"怒り左"	"Fcl_BRW_Angry_L"
"怒り"	"Fcl_BRW_Angry"
"驚き右"	"Fcl_BRW_Surprised_R"
"驚き左"	"Fcl_BRW_Surprised_L"
"驚き"	"Fcl_BRW_Surprised"
"下右"	"brow_Below_R"
"下左"	"brow_Below_L"
"下"	"brow_Below"
"上右"	"brow_Abobe_R"
"上左"	"brow_Abobe_L"
"上"	"brow_Abobe"
"右眉左"	"brow_Left_R"
"左眉左"	"brow_Left_L"
"眉左"	"brow_Left"
"右眉右"	"brow_Right_R"
"左眉右"	"brow_Right_L"
"眉右"	"brow_Right"
"右眉手前"	"brow_Front_R"
"左眉手前"	"brow_Front_L"
"眉手前"	"brow_Front"
"真面目右"	"brow_Serious_R"
"真面目左"	"brow_Serious_L"
"真面目"	"brow_Serious"
"ひそめ右"	"brow_Frown_R"
"ひそめ左"	"brow_Frown_L"
"ひそめ"	"brow_Frown"
"びっくり右"	"Fcl_EYE_Surprised_R"
"びっくり左"	"Fcl_EYE_Surprised_L"
"びっくり"	"Fcl_EYE_Surprised"
"瞳小右"	"eye_Small_R"
"瞳小左"	"eye_Small_L"
"瞳小"	"eye_Small"
"瞳大右"	"eye_Big_R"
"瞳大左"	"eye_Big_L"
"瞳大"	"eye_Big"
"ｳｨﾝｸ２右"	"Fcl_EYE_Close_R"
"ｳｨﾝｸ２右ボーン"	"Fcl_EYE_Close_R_Bone"
"ｳｨﾝｸ２右連動"	"Fcl_EYE_Close_R_Group"
"ウィンク２"	"Fcl_EYE_Close_L"
"ウィンク２ボーン"	"Fcl_EYE_Close_L_Bone"
"ウィンク２連動"	"Fcl_EYE_Close_L_Group"
"まばたき"	"Fcl_EYE_Close"
